ID,name,createdAt,createdBy,modifiedAt,modifiedBy
26108981-8549-4283-8cfc-24d79e3839d3,Rushikesh Reddy,2005-07-21T00:00:00.000Z,r.rao@example.com,2005-06-23T00:00:00.000Z,s.reddy@example.com
72154636-3b7d-43d6-a584-0693034f9316,Arundhati Roy,2000-12-15T00:00:00.000Z,a.roy@example.com,2017-03-18T00:00:00.000Z,arundhati.r@example.com
72154645-c2e7-4244-8787-695151616d47,R.K. Narayan,2009-07-13T00:00:00.000Z,r.narayan@example.org,2003-06-08T00:00:00.000Z,rahul.n@example.com
7215465f-b4f1-4b92-bcdf-040c3f6aecfa,Salman Rushdie,2006-06-20T00:00:00.000Z,s.rushdie@example.com,2015-10-14T00:00:00.000Z,salman.r@example.org
7215466a-2c75-47db-ba7c-3b04c3823bd4,Paulo Coelho,2011-12-15T00:00:00.000Z,p.coelho@example.org,2006-01-10T00:00:00.000Z,paulo.c@example.org
7215467b-60f6-4c96-acbd-908dce903dfe,Chetan Bhagat,2023-02-21T00:00:00.000Z,c.bhagat@example.com,2018-05-22T00:00:00.000Z,chetan.b@example.net
7215468a-e3d3-400e-b0ed-48898753fab3,J.K. Rowling,2004-11-28T00:00:00.000Z,j.rowling@example.net,2003-10-31T00:00:00.000Z,jk.rowling@example.org
72154698-e837-4ad6-8bdf-3e7313e7552a,Dan Brown,2005-06-16T00:00:00.000Z,d.brown@example.net,2004-04-08T00:00:00.000Z,dan.b@example.org
72154702-e9f1-450a-bf18-ac26c113f0d6,Amish Tripathi,2018-05-12T00:00:00.000Z,a.tripathi@example.net,2015-11-01T00:00:00.000Z,amish.t@example.net
72154714-55fa-4eca-8187-fc0c27813fde,Aravind Adiga,2019-11-27T00:00:00.000Z,a.adiga@example.net,2010-05-03T00:00:00.000Z,aravind.a@example.com
